Category,Subcategory,Sub-subcategory,Octopart ID,URL Path,Number of parts
Passive Components,Capacitors,Capacitor Arrays,4169,/electronic-parts/passive-components/capacitors/capacitor-arrays,17189
Passive Components,Capacitors,Capacitor Kits,4172,/electronic-parts/passive-components/capacitors/capacitor-kits,346
Passive Components,Capacitors,Ceramic Capacitors,6332,/electronic-parts/passive-components/capacitors/ceramic-capacitors,2265857
Passive Components,Capacitors,Electric Double Layer Capacitors,6372,/electronic-parts/passive-components/capacitors/electric-double-layer-capacitors,4732
Passive Components,Capacitors,Film Capacitors,6333,/electronic-parts/passive-components/capacitors/film-capacitors,342601
Passive Components,Capacitors,Mica Capacitors,6334,/electronic-parts/passive-components/capacitors/mica-capacitors,13025
Passive Components,Capacitors,Niobium Capacitors,6373,/electronic-parts/passive-components/capacitors/niobium-capacitors,603
Passive Components,Capacitors,Polymer Capacitors,6335,/electronic-parts/passive-components/capacitors/polymer-capacitors,9077
Passive Components,Capacitors,Silicon Capacitors,6374,/electronic-parts/passive-components/capacitors/silicon-capacitors,396
Passive Components,Capacitors,Tantalum Capacitors,6336,/electronic-parts/passive-components/capacitors/tantalum-capacitors,330109
Passive Components,Capacitors,Trimmer / Variable Capacitors,4168,/electronic-parts/passive-components/capacitors/trimmer-variable-capacitors,4714
Passive Components,Crystals and Oscillators,,4199,/electronic-parts/passive-components/crystals-and-oscillators,1767399
Passive Components,Crystals and Oscillators,Crystals,4200,/electronic-parts/passive-components/crystals-and-oscillators/crystals,1114469
Passive Components,Crystals and Oscillators,Oscillators,4201,/electronic-parts/passive-components/crystals-and-oscillators/oscillators,169927
Passive Components,Crystals and Oscillators,Resonators,4202,/electronic-parts/passive-components/crystals-and-oscillators/resonators,1072
Passive Components,EMI / RFI Components,,4205,/electronic-parts/passive-components/emi-rfi-components,493370
Passive Components,EMI / RFI Components,Common Mode Chokes,4195,/electronic-parts/passive-components/emi-rfi-components/common-mode-chokes,13988
Passive Components,EMI / RFI Components,EMI / RFI Filters,6473,/electronic-parts/passive-components/emi-rfi-components/emi-rfi-filters,425734
Passive Components,EMI / RFI Components,Ferrite Beads and Chips,4209,/electronic-parts/passive-components/emi-rfi-components/ferrite-beads-and-chips,10819
Passive Components,EMI / RFI Components,RF Circulators and Isolators,6397,/electronic-parts/passive-components/emi-rfi-components/rf-circulators-and-isolators,3745
Passive Components,EMI / RFI Components,RF Directional Coupler,6398,/electronic-parts/passive-components/emi-rfi-components/rf-directional-coupler,5521
Passive Components,EMI / RFI Components,RF Shields,6399,/electronic-parts/passive-components/emi-rfi-components/rf-shields,17909
Passive Components,Filters,,6375,/electronic-parts/passive-components/filters,47322
Passive Components,Filters,Ceramic Filters,6378,/electronic-parts/passive-components/filters/ceramic-filters,4055
Passive Components,Filters,Feed Through Capacitors,6403,/electronic-parts/passive-components/filters/feed-through-capacitors,4287
Passive Components,Filters,Power Line Filter Modules,6402,/electronic-parts/passive-components/filters/power-line-filter-modules,22194
Passive Components,Filters,RF Filters,6377,/electronic-parts/passive-components/filters/rf-filters,6327
Passive Components,Filters,SAW Filters,6376,/electronic-parts/passive-components/filters/saw-filters,10399
Passive Components,Inductors,,4190,/electronic-parts/passive-components/inductors,362721
Passive Components,Inductors,Fixed Inductors,4193,/electronic-parts/passive-components/inductors/fixed-inductors,339347
Passive Components,Inductors,Inductor Kits,6259,/electronic-parts/passive-components/inductors/inductor-kits,308
Passive Components,Inductors,Variable Inductors,4191,/electronic-parts/passive-components/inductors/variable-inductors,313
Passive Components,Resistors,,4173,/electronic-parts/passive-components/resistors,7494274
Passive Components,Resistors,Chassis Mount Resistors,6379,/electronic-parts/passive-components/resistors/chassis-mount-resistors,64895
Passive Components,Resistors,Chip SMD Resistors,6309,/electronic-parts/passive-components/resistors/chip-smd-resistors,3484852
Passive Components,Resistors,Resistor Arrays,4175,/electronic-parts/passive-components/resistors/resistor-arrays,698578
Passive Components,Resistors,Resistor Kits,6258,/electronic-parts/passive-components/resistors/resistor-kits,404
Passive Components,Resistors,Thermistors,4189,/electronic-parts/passive-components/resistors/thermistors,11655
Passive Components,Resistors,Through-Hole Resistors,6312,/electronic-parts/passive-components/resistors/through-hole-resistors,1247331
Passive Components,Resistors,Variable Resistors and Potentiometers,4180,/electronic-parts/passive-components/resistors/variable-resistors-and-potentiometers,814018
Passive Components,Resistors,Wirewound Resistors,6311,/electronic-parts/passive-components/resistors/wirewound-resistors,12009
Passive Components,Transformers,,4197,/electronic-parts/passive-components/transformers,111948
Passive Components,Transformers,Balun Transformers,6468,/electronic-parts/passive-components/transformers/balun-transformers,136
Power Products,,,4337,/electronic-parts/power-products,1118183
Power Products,Batteries and Accessories,,4351,/electronic-parts/power-products/batteries-and-accessories,11914
Power Products,DC to AC Inverters,,4341,/electronic-parts/power-products/dc-to-ac-inverters,56
Power Products,Power Cords,,6465,/electronic-parts/power-products/power-cords,22281
Power Products,Power Supply Modules,,6317,/electronic-parts/power-products/power-supply-modules,679688
Power Products,Power Supply Modules,Board Mount Modules,6318,/electronic-parts/power-products/power-supply-modules/board-mount-modules,282327
Power Products,Power Supply Modules,Off-Board Modules,6319,/electronic-parts/power-products/power-supply-modules/off-board-modules,270483
Power Products,Power Supply Modules,Wall Adapters,6320,/electronic-parts/power-products/power-supply-modules/wall-adapters,13988
Power Products,Surge Protectors,,4584,/electronic-parts/power-products/surge-protectors,24606
Power Products,Uninterruptible Power Supply (UPS),,4586,/electronic-parts/power-products/uninterruptible-power-supply-ups,975
Sensors,,,5510,/electronic-parts/sensors,856250
Sensors,Current Sensors,,6323,/electronic-parts/sensors/current-sensors,1665
Sensors,Flow Sensors,,5513,/electronic-parts/sensors/flow-sensors,1031
Sensors,Gas Sensors,,6353,/electronic-parts/sensors/gas-sensors,3404
Sensors,Magnetic Sensors,,5521,/electronic-parts/sensors/magnetic-sensors,9002
Sensors,Magnetic Sensors,Hall Effect Sensors,6354,/electronic-parts/sensors/magnetic-sensors/hall-effect-sensors,5404
Sensors,Motion Sensors,,6304,/electronic-parts/sensors/motion-sensors,7600
Sensors,Motion Sensors,Accelerometers,4330,/electronic-parts/sensors/motion-sensors/accelerometers,3205
Sensors,Motion Sensors,Gyroscopes,6243,/electronic-parts/sensors/motion-sensors/gyroscopes,253
Sensors,Motion Sensors,Inertial Measurement Units (IMUs),6324,/electronic-parts/sensors/motion-sensors/inertial-measurement-units-imus,298
Sensors,Motion Sensors,Vibration and Shock Sensors,6352,/electronic-parts/sensors/motion-sensors/vibration-and-shock-sensors,1056
Sensors,Optical Sensors,,5522,/electronic-parts/sensors/optical-sensors,34978
Sensors,Optical Sensors,Image Sensors,6342,/electronic-parts/sensors/optical-sensors/image-sensors,5876
Sensors,Optical Sensors,Photodiodes,4483,/electronic-parts/sensors/optical-sensors/photodiodes,623
Sensors,Optical Sensors,Photoelectric Sensors,5525,/electronic-parts/sensors/optical-sensors/photoelectric-sensors,15834
Sensors,Optical Sensors,Phototransistor,4487,/electronic-parts/sensors/optical-sensors/phototransistor,560
Sensors,Position Sensors,,6349,/electronic-parts/sensors/position-sensors,2492
Sensors,Pressure Sensors,,5515,/electronic-parts/sensors/pressure-sensors,249169
Sensors,Proximity Sensors,,5523,/electronic-parts/sensors/proximity-sensors,40197
Sensors,Temperature and Humidity Sensors,,5524,/electronic-parts/sensors/temperature-and-humidity-sensors,25519
Test Equipment,,,4885,/electronic-parts/test-equipment,63573
Test Equipment,Benchtop Power Supplies,,5135,/electronic-parts/test-equipment/benchtop-power-supplies,57
Test Equipment,Function Generators,,4888,/electronic-parts/test-equipment/function-generators,963
Test Equipment,Multimeters,,4905,/electronic-parts/test-equipment/multimeters,2072
Test Equipment,Oscilloscopes,,4902,/electronic-parts/test-equipment/oscilloscopes,2648
Test Equipment,Spectrum Analyzers,,4909,/electronic-parts/test-equipment/spectrum-analyzers,177
Test Equipment,"Test Probes, Leads and Clips",,5136,/electronic-parts/test-equipment/test-probes-leads-and-clips,6447
Test Equipment,Thermometers,,4804,/electronic-parts/test-equipment/thermometers,400
Tools and Supplies,,,4920,/electronic-parts/tools-and-supplies,2140504
Tools and Supplies,Anti-Static Control,,5318,/electronic-parts/tools-and-supplies/anti-static-control,1234
Tools and Supplies,Chemicals,,4934,/electronic-parts/tools-and-supplies/chemicals,6641
Tools and Supplies,Enclosures,,4643,/electronic-parts/tools-and-supplies/enclosures,64827
Tools and Supplies,Flashlights,,4944,/electronic-parts/tools-and-supplies/flashlights,903
Tools and Supplies,Hand Tools,,4921,/electronic-parts/tools-and-supplies/hand-tools,130691
Tools and Supplies,Hand Tools,Drills,4927,/electronic-parts/tools-and-supplies/hand-tools/drills,2981
Tools and Supplies,Hand Tools,Hammers,4929,/electronic-parts/tools-and-supplies/hand-tools/hammers,4445
Tools and Supplies,Hand Tools,Heat Guns,5589,/electronic-parts/tools-and-supplies/hand-tools/heat-guns,1773
Tools and Supplies,Hand Tools,Knives and Blades,4928,/electronic-parts/tools-and-supplies/hand-tools/knives-and-blades,1269
Tools and Supplies,Hand Tools,Micrometers,4897,/electronic-parts/tools-and-supplies/hand-tools/micrometers,2356
Tools and Supplies,Hand Tools,Pliers and Tweezers,5487,/electronic-parts/tools-and-supplies/hand-tools/pliers-and-tweezers,5332
Tools and Supplies,Hand Tools,Screw and Nut Drivers,5485,/electronic-parts/tools-and-supplies/hand-tools/screw-and-nut-drivers,11569
Tools and Supplies,Hand Tools,Wrenches,4926,/electronic-parts/tools-and-supplies/hand-tools/wrenches,6780
Tools and Supplies,"Hardware, Fasteners",,4952,/electronic-parts/tools-and-supplies/hardware-fasteners,256926
Tools and Supplies,"Hardware, Fasteners",Anchors,6118,/electronic-parts/tools-and-supplies/hardware-fasteners/anchors,1516
Tools and Supplies,"Hardware, Fasteners",Screws and Fasteners,4965,/electronic-parts/tools-and-supplies/hardware-fasteners/screws-and-fasteners,26618
Tools and Supplies,"Hardware, Fasteners","Spacers, Standoffs",4958,/electronic-parts/tools-and-supplies/hardware-fasteners/spacers-standoffs,218679
Tools and Supplies,"Hardware, Fasteners",Thread Inserts,6103,/electronic-parts/tools-and-supplies/hardware-fasteners/thread-inserts,1996
Tools and Supplies,"Hardware, Fasteners",Washers,4966,/electronic-parts/tools-and-supplies/hardware-fasteners/washers,6632
Tools and Supplies,"Packaging, Labels, Tape",,6464,/electronic-parts/tools-and-supplies/packaging-labels-tape,282
Tools and Supplies,Prototype Boards and Breadboards,,6325,/electronic-parts/tools-and-supplies/prototype-boards-and-breadboards,939
Tools and Supplies,Raw Materials,,5742,/electronic-parts/tools-and-supplies/raw-materials,4504
Tools and Supplies,Soldering Supplies and Tools,,4975,/electronic-parts/tools-and-supplies/soldering-supplies-and-tools,9090
Tools and Supplies,Storage Bins,,4911,/electronic-parts/tools-and-supplies/storage-bins,3294
Tools and Supplies,Wire Crimpers and Strippers,,4938,/electronic-parts/tools-and-supplies/wire-crimpers-and-strippers,24448
